city_name,city_url,pizza_name,pizza_eng_name,pizza_url,pizza_contain,pizza_price,kiloCalories,carbohydrates,proteins,fats,size,weight
Калининград,/Kaliningrad,Двойная пепперони,double-pepperoni,https://dodopizza.ru/Kaliningrad/Product/double-pepperoni,"Томатный соус, двойная порция пепперони и увеличенная порция моцареллы",395,"257,52","26,04","10,77","12,11",25,470±50
Калининград,/Kaliningrad,Крэйзи пицца ,crazy-pizza,https://dodopizza.ru/Kaliningrad/Product/crazy-pizza,"Томатный соус, увеличенные порции цыпленка и пепперони, моцарелла, кисло-сладкий соус",395,"232,37","31,33","9,08","7,64",25,410±50
Калининград,/Kaliningrad,Дон Бекон,pizza-don-bekon,https://dodopizza.ru/Kaliningrad/Product/pizza-don-bekon,"Томатный соус, бекон, пепперони, цыпленок, красный лук, моцарелла",395,274,"25,2","9,8","14,8",25,454±50
Калининград,/Kaliningrad,Грибы и ветчина,gribvetchina,https://dodopizza.ru/Kaliningrad/Product/gribvetchina,"Томатный соус, ветчина, шампиньоны, моцарелла",315,189,"23,9","9,3","6,1",25,370±50
Калининград,/Kaliningrad,Пицца-пирог,pizza-pirog,https://dodopizza.ru/Kaliningrad/Product/pizza-pirog,"Сгущенное молоко, брусника, ананасы",315,"144,9","29,8","2,9","2,7",25,420±50
Калининград,/Kaliningrad,Маргарита,pizza-margarita,https://dodopizza.ru/Kaliningrad/Product/pizza-margarita,"Томатный соус, томаты, увеличенная порция моцареллы, орегано",315,186,"24,8","8,1","5,9",25,460±50
Калининград,/Kaliningrad,Сырная,syrnaya-pizza,https://dodopizza.ru/Kaliningrad/Product/syrnaya-pizza,"Томатный соус, брынза, увеличенная порция сыра моцарелла, орегано",315,224,"27,1","9,8","8,3",25,420±50
Калининград,/Kaliningrad,Гавайская,gavayskaya-pizza,https://dodopizza.ru/Kaliningrad/Product/gavayskaya-pizza,"Томатный соус, ананасы, цыпленок, моцарелла",315,216,25,"12,2","7,4",25,500±50
Калининград,/Kaliningrad,Додо,pizza-dodo,https://dodopizza.ru/Kaliningrad/Product/pizza-dodo,"Томатный соус, говядина (фарш), ветчина, пепперони, красный лук, маслины, сладкий перец, шампиньоны, моцарелла",395,"203,9","22,1","8,6","8,9",25,560±50
Калининград,/Kaliningrad,Четыре сезона,pizza-chetyre-sezona,https://dodopizza.ru/Kaliningrad/Product/pizza-chetyre-sezona,"Томатный соус, пепперони, ветчина, брынза, томаты, шампиньоны, моцарелла, орегано",385,191,"25,3","5,8","8,9",25,450±50
Калининград,/Kaliningrad,Овощи и грибы,ovoshi-i-griby,https://dodopizza.ru/Kaliningrad/Product/ovoshi-i-griby,"Томатный соус, брынза, маслины, сладкий перец, томаты, шампиньоны, красный лук, моцарелла, базилик",385,174,"23,6","6,9","5,7",25,500±50
Калининград,/Kaliningrad,Итальянская,italyanskaya-pizza,https://dodopizza.ru/Kaliningrad/Product/italyanskaya-pizza,"Томатный соус, пепперони, маслины, шампиньоны, моцарелла, орегано",385,217,27,"8,4","8,1",25,410±50
Калининград,/Kaliningrad,Мексиканская,meksikanskaya-pizza,https://dodopizza.ru/Kaliningrad/Product/meksikanskaya-pizza,"Томатный соус, халапеньо, сладкий перец, цыпленок, томаты, шампиньоны, красный лук, моцарелла",385,166,"23,6","7,6","4,5",25,500±50
Калининград,/Kaliningrad,Морская,morskaya-pizza,https://dodopizza.ru/Kaliningrad/Product/morskaya-pizza,"Томатный соус, креветки, маслины, сладкий перец, красный лук, моцарелла",395,181,"25,7","8,4","5,5",25,440±50
Калининград,/Kaliningrad,Мясная,myasnaya-pizza,https://dodopizza.ru/Kaliningrad/Product/myasnaya-pizza,"Томатный соус, охотничьи колбаски, бекон, ветчина, моцарелла",395,268,"24,2","9,1","14,8",25,460±50
Калининград,/Kaliningrad,Пепперони,pizza-pepperoni,https://dodopizza.ru/Kaliningrad/Product/pizza-pepperoni,"Томатный соус, пепперони, увеличенная порция моцареллы",385,245,"27,3","10,4","10,3",25,410±50
Калининград,/Kaliningrad,Ранч пицца,ranch-pizza,https://dodopizza.ru/Kaliningrad/Product/ranch-pizza,"Соус Ранч, цыпленок, ветчина, томаты, чеснок, моцарелла",385,218,"24,5","9,7","8,9",25,470±50
Калининград,/Kaliningrad,Сырный цыплёнок,pizza-syrnyi-cyplenok,https://dodopizza.ru/Kaliningrad/Product/pizza-syrnyi-cyplenok,"Сырный соус, цыпленок, томаты, моцарелла",385,196,24,"9,7","6,6",25,500±50
Калининград,/Kaliningrad,Цыплёнок барбекю,pizza-cyplenok-barbekyu,https://dodopizza.ru/Kaliningrad/Product/pizza-cyplenok-barbekyu,"Томатный соус, цыпленок, бекон, красный лук, моцарелла, соус Барбекю",385,250,"24,9","9,8","12,1",25,470±50
Калининград,/Kaliningrad,Чизбургер-пицца,chizburger-pizza,https://dodopizza.ru/Kaliningrad/Product/chizburger-pizza,"Сырный соус, говядина, бекон, соленые огурцы, томаты, красный лук, моцарелла",385,209,"23,5","7,5","9,6",25,480±50
